No.,Title,Developer,Publisher,Release date,Platform,Sales,Ref.
1,Tetris,Elektronorgtechnica,Spectrum HoloByte[b],"June 6, 1984",Multi-platform,170000000.00,[2]
2,Minecraft,Mojang,Mojang,"November 18, 2011",Multi-platform,122000000.00,[5]
3,Wii Sports,Nintendo EAD,Nintendo,"November 19, 2006",Wii,82810000.00,[6]
4,Grand Theft Auto V,Rockstar North,Rockstar Games,"September 17, 2013",Multi-platform,80000000.00,[8]
5,Super Mario Bros.,Nintendo R&D4,Nintendo,"September 13, 1985",NES,40240000.00,[9]
6,Mario Kart Wii,Nintendo EAD,Nintendo,"April 10, 2008",Wii,36950000.00,[6]
7,Wii Sports Resort,Nintendo EAD,Nintendo,"June 25, 2009",Wii,33040000.00,[6]
8,Pokémon Red Green and Blue,Game Freak,Nintendo,"February 27, 1996",Game Boy,31380000.00,[10]
9,New Super Mario Bros.,Nintendo EAD,Nintendo,"May 15, 2006",Nintendo DS,30800000.00,[11]
10,New Super Mario Bros. Wii,Nintendo EAD,Nintendo,"November 11, 2009",Wii,30050000.00,[6]
11,The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,"November 11, 2011",Multi-platform,30000000.00,[12]
12,Diablo III,Blizzard Entertainment,Blizzard Entertainment,"May 15, 2012",Multi-platform,30000000.00,[13]
13,Duck Hunt,Nintendo R&D1,Nintendo,"April 21, 1984",NES,28300000.00,[14]
14,Wii Play,Nintendo EAD,Nintendo,"December 2, 2006",Wii,28020000.00,[6]
15,Grand Theft Auto: San Andreas,Rockstar North,Rockstar Games,"October 26, 2004",Multi-platform,27500000.00,[15]
16,Call of Duty: Modern Warfare 3,"Infinity Ward
Sledgehammer Games",Activision,"November 8, 2011",Multi-platform,26500000.00,[16]
17,Call of Duty: Black Ops,Treyarch,Activision,"November 9, 2010",Multi-platform,26200000.00,[16]
18,Grand Theft Auto IV,Rockstar North,Rockstar Games,"April 29, 2008",Multi-platform,25000000.00,[17]
19,Call of Duty: Black Ops II,Treyarch,Activision,"November 12, 2012",Multi-platform,24200000.00,[16]
20,Kinect Adventures!,Good Science Studio,Microsoft Studios,"November 4, 2010",Xbox 360,24000000.00,[18]
21,Nintendogs,Nintendo EAD,Nintendo,"April 21, 2005",Nintendo DS,23960000.00,[11]
22,Mario Kart DS,Nintendo EAD,Nintendo,"November 14, 2005",Nintendo DS,23600000.00,[11]
23,Pokémon Gold and Silver,Game Freak,Nintendo,"November 21, 1999",Game Boy Color,23100000.00,[19]
24,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,"November 10, 2009",Multi-platform,22700000.00,[16]
25,Wii Fit,Nintendo EAD,Nintendo,"December 1, 2007",Wii,22670000.00,[6]
26,Wii Fit Plus,Nintendo EAD,Nintendo,"October 1, 2009",Wii,21120000.00,[6]
27,Super Mario World,Nintendo EAD,Nintendo,"November 21, 1990",Super NES,20610000.00,[20]
28,Frogger,Konami,Sega,"June 5, 1981",Multi-platform,20000000.00,[21]
29,Lemmings,DMA Design,Psygnosis,"February 14, 1991",Multi-platform,20000000.00,[22]
30,Terraria,Re-Logic,Re-Logic,"May 16, 2011",Multi-platform,20000000.00,[23]
31,Brain Age,Nintendo SPD,Nintendo,"May 19, 2005",Nintendo DS,19010000.00,[11]
32,Call of Duty: Ghosts,Infinity Ward,Activision,"November 5, 2013",Multi-platform,19000000.00,[24]
33,Super Mario Land,Nintendo R&D1,Nintendo,"April 21, 1989",Game Boy,18140000.00,[20]
34,Pokémon Diamond and Pearl,Game Freak,The Pokémon Company,"September 28, 2006",Nintendo DS,17670000.00,[11]
35,Grand Theft Auto: Vice City,Rockstar North,Rockstar Games,"October 27, 2002",Multi-platform,17500000.00,[25]
36,Super Mario Bros. 3,Nintendo R&D4,Nintendo,"October 23, 1988",NES,17280000.00,[20]
37,Pokémon Ruby and Sapphire,Game Freak,The Pokémon Company,"November 21, 2002",Game Boy Advance,16220000.00,[26]
38,Pokémon X and Y,Game Freak,The Pokémon Company,"October 12, 2013",Nintendo 3DS,16150000.00,[27]
39,The Sims,Maxis,Electronic Arts,"January 31, 2000",Multi-platform,16000000.00,[28]
40,Need for Speed: Most Wanted,EA Black Box,Electronic Arts,"November 11, 2005",Multi-platform,16000000.00,[29]
41,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,"November 5, 2007",Multi-platform,15700000.00,[16]
42,Call of Duty: World at War,Treyarch,Activision,"November 11, 2008",Multi-platform,15700000.00,[16]
43,Pokémon Sun and Moon,Game Freak,The Pokémon Company,"November 18, 2016",Nintendo 3DS,15670000.00,[27]
44,Pokémon Black and White,Game Freak,The Pokémon Company,"September 18, 2010",Nintendo DS,15640000.00,[11]
45,Mario Kart 7,Nintendo EAD,Nintendo,"December 1, 2011",Nintendo 3DS,15570000.00,[27]
46,Sonic the Hedgehog,Sonic Team,Sega,"June 23, 1991",Sega Mega Drive,15000000.00,[30]
47,Red Dead Redemption,Rockstar San Diego,Rockstar Games,"May 18, 2010",Multi-platform,15000000.00,[31]
48,Battlefield 3,EA DICE,Electronic Arts,"October 25, 2011",Multi-platform,15000000.00,[32]
49,Gran Turismo 3: A-Spec,Polyphony Digital,Sony Computer Entertainment,"April 28, 2001",PlayStation 2,14890000.00,[33]
50,Brain Age 2,Nintendo SPD,Nintendo,"December 29, 2005",Nintendo DS,14880000.00,[11]
